generation,avg_fitness,stdev_fitness,best_fitness,avg_adjusted_fitness,mean_genetic_distance,std_genetic_distance,gen_time
47,212.9,198.07345,580.0,0.388,1.822,0.587,60.005
48,189.4,221.9609,580.0,0.339,1.781,0.616,60.009
49,192.8,215.87533,580.0,0.35,1.647,0.629,60.007
50,192.2,213.40141,580.0,0.357,1.756,0.59,60.03
51,212.2,221.12702,580.0,0.385,1.843,0.629,60.008
52,206.0,209.19847,580.0,0.373,1.602,0.711,60.018
53,168.9,223.54483,580.0,0.31,1.541,0.643,60.01
54,,,,,,,
0,-21.8064,10.38397,-12.39,0.62,1.479,0.379,60.006
1,-14.2336,18.51413,34.8,0.319,1.649,0.365,60.016
2,8.0458,24.75167,36.0,0.618,1.781,0.359,60.018
3,25.8632,22.94917,89.81,0.496,1.894,0.478,60.006
4,21.6442,24.22396,90.48,0.351,1.626,0.384,60.02
5,20.3558,25.01773,89.81,0.394,1.459,0.421,60.018
6,26.5226,21.7383,89.84,0.381,1.63,0.363,60.008
7,24.6642,26.37061,89.84,0.487,1.572,0.415,60.014
8,23.291,25.10031,89.84,0.391,1.693,0.618,60.007
9,21.8754,27.91778,89.84,0.329,2.167,0.79,60.007
10,20.456,26.1053,89.83,0.348,2.143,0.573,60.021
11,26.6824,23.57342,89.86,0.385,2.211,0.721,60.011
12,26.2954,27.81946,89.84,0.396,2.043,0.76,60.008
13,23.2396,29.4205,89.82,0.343,2.035,0.695,60.008
14,21.9136,26.60454,89.82,0.379,1.98,0.653,60.02
15,18.199,28.35536,89.82,0.372,2.063,0.47,60.017
16,21.6308,26.13478,89.84,0.359,2.098,0.547,60.006
17,22.0064,26.68445,89.82,0.466,2.11,0.578,60.015
18,24.6542,28.90246,90.49,0.431,1.992,0.587,60.021
19,24.0838,26.68548,89.81,0.435,1.984,0.415,60.019
20,24.8768,24.87746,89.92,0.431,1.995,0.5,60.014
21,,,,,,,
31,52.2956,81.79553,281.93,0.223,2.062,0.719,60.02
32,59.3686,74.74171,264.72,0.256,2.085,0.767,3.216
33,63.1418,76.80243,264.72,0.27,2.108,0.805,3.218
34,64.20922,86.25681,264.72,0.266,2.145,0.804,3.207
35,61.8342,86.22148,264.72,0.272,2.154,0.79,3.209
36,58.21082,85.47533,264.72,0.255,2.214,0.908,3.213
